day,sku,requested_kg,supplier_lead_days
236,SAUSAGE-C,25,1
236,SPECIAL-D,8,1
237,BEEF-A,47,1
237,CHICKEN-B,47,1
237,SAUSAGE-C,10,1
237,SPECIAL-D,6,1
238,BEEF-A,103,3
238,CHICKEN-B,42,1
238,SAUSAGE-C,16,1
238,SPECIAL-D,14,1
239,BEEF-A,36,1
239,CHICKEN-B,66,1
239,SAUSAGE-C,23,1
239,SPECIAL-D,10,1
