year_month,region,category,revenue_budget
2025-09,Nairobi,Staples,146917.05
2025-09,Nyanza,Beverages,19407.36
2025-09,Nyanza,Household,48981.67
2025-09,Nyanza,Personal Care,104305.17
2025-09,Nyanza,Snacks,13866.75
2025-09,Nyanza,Staples,63882.75
2025-09,Rift Valley,Beverages,60294.06
2025-09,Rift Valley,Household,205245.32
2025-09,Rift Valley,Personal Care,202894.19
2025-09,Rift Valley,Snacks,27409.28
2025-09,Rift Valley,Staples,127608.21
2025-09,Western,Beverages,13132.51
2025-09,Western,Household,43555.32
2025-09,Western,Personal Care,52716.5
2025-09,Western,Snacks,24221.54
2025-09,Western,Staples,7406.71
2025-10,Central,Beverages,25631.54
2025-10,Central,Household,51961.65
2025-10,Central,Personal Care,123075.33
2025-10,Central,Snacks,24450.47
2025-10,Central,Staples,24018.08
2025-10,Coast,Beverages,19534.07
2025-10,Coast,Household,83413.2
2025-10,Coast,Personal Care,73214.31
2025-10,Coast,Snacks,13126.21
2025-10,Coast,Staples,69758.46
2025-10,Eastern,Beverages,2832.43
2025-10,Eastern,Household,44034.07
2025-10,Eastern,Personal Care,19430.59
2025-10,Eastern,Snacks,2412.13
2025-10,Eastern,Staples,28176.71
2025-10,Nairobi,Beverages,75335.8
2025-10,Nairobi,Household,159772.2
2025-10,Nairobi,Personal Care,403275.43
2025-10,Nairobi,Snacks,70430.2
2025-10,Nairobi,Staples,187669.82
2025-10,Nyanza,Beverages,9410.63
2025-10,Nyanza,Household,68383.56
2025-10,Nyanza,Personal Care,107605.02
2025-10,Nyanza,Snacks,4737.16
2025-10,Nyanza,Staples,33500.53
2025-10,Rift Valley,Beverages,46563.67
2025-10,Rift Valley,Household,227947.36
2025-10,Rift Valley,Personal Care,198412.87
2025-10,Rift Valley,Snacks,48006.98
2025-10,Rift Valley,Staples,193028.34
2025-10,Western,Beverages,18567.82
2025-10,Western,Household,39800.05
2025-10,Western,Personal Care,158904.53
2025-10,Western,Snacks,21499.97
2025-10,Western,Staples,28562.34
2025-11,Central,Beverages,43790.72
2025-11,Central,Household,50448.51
2025-11,Central,Personal Care,143134.22
2025-11,Central,Snacks,35206.2
2025-11,Central,Staples,28473.28
2025-11,Coast,Beverages,35775.02
2025-11,Coast,Household,44539.73
2025-11,Coast,Personal Care,37255.43
2025-11,Coast,Snacks,18506.93
2025-11,Coast,Staples,42916.56
2025-11,Eastern,Beverages,19879.04
2025-11,Eastern,Household,7904.45
2025-11,Eastern,Personal Care,131050.53
2025-11,Eastern,Snacks,13673.58
2025-11,Eastern,Staples,24540.72
2025-11,Nairobi,Beverages,105024.34
2025-11,Nairobi,Household,286512.87
2025-11,Nairobi,Personal Care,326242.74
2025-11,Nairobi,Snacks,63118.67
2025-11,Nairobi,Staples,138660.77
2025-11,Nyanza,Beverages,22477.65
2025-11,Nyanza,Household,104026.54
2025-11,Nyanza,Personal Care,197278.16
2025-11,Nyanza,Snacks,31977.31
2025-11,Nyanza,Staples,31112.85
2025-11,Rift Valley,Beverages,44586.98
2025-11,Rift Valley,Household,95698.75
2025-11,Rift Valley,Personal Care,228401.85
2025-11,Rift Valley,Snacks,53619.11
2025-11,Rift Valley,Staples,125974.97
2025-11,Western,Beverages,30735.57
2025-11,Western,Household,52986.5
2025-11,Western,Personal Care,170097.55
2025-11,Western,Snacks,20194.44
2025-11,Western,Staples,84487.6
2025-12,Central,Beverages,43816.22
2025-12,Central,Household,104446.81
2025-12,Central,Personal Care,234032.72
2025-12,Central,Snacks,61883.96
2025-12,Central,Staples,116275.15
2025-12,Coast,Beverages,39828.87
2025-12,Coast,Household,86861.24
2025-12,Coast,Personal Care,128472.25
2025-12,Coast,Snacks,17731.53
2025-12,Coast,Staples,57744.7
2025-12,Eastern,Beverages,20342.84
2025-12,Eastern,Household,19292.84
2025-12,Eastern,Personal Care,60155.6
2025-12,Eastern,Snacks,34190.37
2025-12,Eastern,Staples,10989.95
2025-12,Nairobi,Beverages,99996.09
2025-12,Nairobi,Household,266646.03
2025-12,Nairobi,Personal Care,377491.91
2025-12,Nairobi,Snacks,92633.22
2025-12,Nairobi,Staples,196176.95
2025-12,Nyanza,Beverages,22842.7
2025-12,Nyanza,Household,141154.38
2025-12,Nyanza,Personal Care,80900.27
2025-12,Nyanza,Snacks,17185.48
2025-12,Nyanza,Staples,102234.65
2025-12,Rift Valley,Beverages,47634.18
2025-12,Rift Valley,Household,142639.9
2025-12,Rift Valley,Personal Care,174336.48
2025-12,Rift Valley,Snacks,35920.79
2025-12,Rift Valley,Staples,115846.58
2025-12,Western,Beverages,45098.65
2025-12,Western,Household,108760.65
2025-12,Western,Personal Care,173282.41
2025-12,Western,Snacks,25339.53
2025-12,Western,Staples,33986.61
2026-01,Central,Beverages,23923.58
2026-01,Central,Household,126918.36
2026-01,Central,Personal Care,174145.18
2026-01,Central,Snacks,31615.32
2026-01,Central,Staples,77481.68
2026-01,Coast,Beverages,5948.34
2026-01,Coast,Household,74446.24
2026-01,Coast,Personal Care,53636.71
2026-01,Coast,Snacks,17097.05
2026-01,Coast,Staples,37388.21
2026-01,Eastern,Beverages,25888.8
2026-01,Eastern,Household,58277.09
2026-01,Eastern,Personal Care,115433.78
2026-01,Eastern,Snacks,14861.29
2026-01,Eastern,Staples,43642.64
2026-01,Nairobi,Beverages,76948.22
2026-01,Nairobi,Household,177426.89
2026-01,Nairobi,Personal Care,394781.12
2026-01,Nairobi,Snacks,66022.4
2026-01,Nairobi,Staples,143257.06
2026-01,Nyanza,Beverages,18191.85
2026-01,Nyanza,Household,69664.74
2026-01,Nyanza,Personal Care,85023.71
2026-01,Nyanza,Snacks,17014.06
2026-01,Nyanza,Staples,53537.24
2026-01,Rift Valley,Beverages,46631.09
2026-01,Rift Valley,Household,171152.79
2026-01,Rift Valley,Personal Care,133674.07
2026-01,Rift Valley,Snacks,56273.26
2026-01,Rift Valley,Staples,155849.95
2026-01,Western,Beverages,10330.54
2026-01,Western,Household,71885.01
2026-01,Western,Personal Care,156074.6
2026-01,Western,Snacks,6121.75
2026-01,Western,Staples,12608.36
2026-02,Central,Beverages,73671.77
2026-02,Central,Household,57616.08
2026-02,Central,Personal Care,165885.24
2026-02,Central,Snacks,38608.96
2026-02,Central,Staples,80471.76
2026-02,Coast,Beverages,12309.74
2026-02,Coast,Household,50223.93
2026-02,Coast,Personal Care,36317.78
2026-02,Coast,Snacks,4774.37
2026-02,Coast,Staples,39047.33
2026-02,Eastern,Beverages,4044.85
2026-02,Eastern,Household,33505.43
2026-02,Eastern,Personal Care,36689.48
2026-02,Eastern,Snacks,7808.37
2026-02,Eastern,Staples,30836.81
2026-02,Nairobi,Beverages,94036.32
2026-02,Nairobi,Household,227455.54
2026-02,Nairobi,Personal Care,419197.24
2026-02,Nairobi,Snacks,95096.52
2026-02,Nairobi,Staples,163245.56
2026-02,Nyanza,Beverages,35034.95
2026-02,Nyanza,Household,61346.13
2026-02,Nyanza,Personal Care,83950.76
2026-02,Nyanza,Snacks,29184.83
2026-02,Nyanza,Staples,92345.81
2026-02,Rift Valley,Beverages,60879.99
2026-02,Rift Valley,Household,124751.59
2026-02,Rift Valley,Personal Care,206596.2
2026-02,Rift Valley,Snacks,31068.09
2026-02,Rift Valley,Staples,104945.92
2026-02,Western,Beverages,22611.83
2026-02,Western,Household,78570.18
2026-02,Western,Personal Care,22299.44
2026-02,Western,Snacks,30839.19
2026-02,Western,Staples,40841.39
2026-03,Central,Beverages,33770.98
2026-03,Central,Household,104404.21
2026-03,Central,Personal Care,185710.46
2026-03,Central,Snacks,24716.68
2026-03,Central,Staples,118219.13
2026-03,Coast,Beverages,37689.29
2026-03,Coast,Household,81564.0
2026-03,Coast,Personal Care,151796.99
2026-03,Coast,Snacks,41641.61
2026-03,Coast,Staples,95495.6
2026-03,Eastern,Beverages,8745.05
2026-03,Eastern,Household,96506.24
2026-03,Eastern,Personal Care,116054.24
2026-03,Eastern,Snacks,21545.58
2026-03,Eastern,Staples,111683.99
2026-03,Nairobi,Beverages,121419.73
2026-03,Nairobi,Household,250538.31
2026-03,Nairobi,Personal Care,446479.05
2026-03,Nairobi,Snacks,85809.15
2026-03,Nairobi,Staples,185719.74
2026-03,Nyanza,Beverages,67068.16
2026-03,Nyanza,Household,171209.02
2026-03,Nyanza,Personal Care,127071.46
2026-03,Nyanza,Snacks,17126.1
2026-03,Nyanza,Staples,63094.72
2026-03,Rift Valley,Beverages,44898.89
2026-03,Rift Valley,Household,125141.71
2026-03,Rift Valley,Personal Care,228450.24
2026-03,Rift Valley,Snacks,39101.1
2026-03,Rift Valley,Staples,50999.91
2026-03,Western,Beverages,14233.67
2026-03,Western,Household,67685.27
2026-03,Western,Personal Care,247770.42
2026-03,Western,Snacks,24687.84
2026-03,Western,Staples,45874.63
2026-04,Central,Beverages,39276.8
2026-04,Central,Household,124955.53
2026-04,Central,Personal Care,44075.01
2026-04,Central,Snacks,35211.84
2026-04,Central,Staples,78984.72
2026-04,Coast,Beverages,24877.85
2026-04,Coast,Household,85753.2
2026-04,Coast,Personal Care,128773.99
2026-04,Coast,Snacks,24871.78
2026-04,Coast,Staples,37579.82
2026-04,Eastern,Beverages,33714.02
2026-04,Eastern,Household,69536.21
2026-04,Eastern,Personal Care,62586.45
2026-04,Eastern,Snacks,16611.58
2026-04,Eastern,Staples,24793.03
2026-04,Nairobi,Beverages,109956.28
2026-04,Nairobi,Household,332553.48
2026-04,Nairobi,Personal Care,382298.95
2026-04,Nairobi,Snacks,134726.21
2026-04,Nairobi,Staples,179265.11
2026-04,Nyanza,Beverages,22128.34
2026-04,Nyanza,Household,36745.98
2026-04,Nyanza,Personal Care,171479.36
2026-04,Nyanza,Snacks,12369.2
2026-04,Nyanza,Staples,22284.08
2026-04,Rift Valley,Beverages,79910.99
2026-04,Rift Valley,Household,178309.28
2026-04,Rift Valley,Personal Care,228403.18
2026-04,Rift Valley,Snacks,51163.72
2026-04,Rift Valley,Staples,129828.39
2026-04,Western,Beverages,37976.79
2026-04,Western,Household,62159.77
2026-04,Western,Personal Care,151626.65
2026-04,Western,Snacks,10399.71
2026-04,Western,Staples,48978.99
2026-05,Central,Beverages,40313.46
2026-05,Central,Household,92265.0
2026-05,Central,Personal Care,126258.73
2026-05,Central,Snacks,27255.05
2026-05,Central,Staples,99678.37
2026-05,Coast,Beverages,43942.93
2026-05,Coast,Household,104287.26
2026-05,Coast,Personal Care,115683.35
2026-05,Coast,Snacks,31032.18
2026-05,Coast,Staples,42205.19
2026-05,Eastern,Beverages,30073.21
2026-05,Eastern,Household,61154.67
2026-05,Eastern,Personal Care,154198.44
2026-05,Eastern,Snacks,20162.82
2026-05,Eastern,Staples,82244.68
2026-05,Nairobi,Beverages,88508.73
2026-05,Nairobi,Household,254346.96
2026-05,Nairobi,Personal Care,498760.8
2026-05,Nairobi,Snacks,114740.7
2026-05,Nairobi,Staples,174698.78
2026-05,Nyanza,Beverages,27012.58
2026-05,Nyanza,Household,75608.43
2026-05,Nyanza,Personal Care,67149.39
2026-05,Nyanza,Snacks,18717.92
2026-05,Nyanza,Staples,48647.01
2026-05,Rift Valley,Beverages,38998.13
2026-05,Rift Valley,Household,176177.0
2026-05,Rift Valley,Personal Care,284342.64
2026-05,Rift Valley,Snacks,37133.99
2026-05,Rift Valley,Staples,72090.79
2026-05,Western,Beverages,33038.81
2026-05,Western,Household,65555.8
2026-05,Western,Personal Care,150214.19
2026-05,Western,Snacks,9685.93
2026-05,Western,Staples,42783.36
2026-06,Central,Beverages,35702.42
2026-06,Central,Household,58574.25
2026-06,Central,Personal Care,197692.01
2026-06,Central,Snacks,23647.4
2026-06,Central,Staples,29875.08
2026-06,Coast,Beverages,36072.69
2026-06,Coast,Household,107638.83
2026-06,Coast,Personal Care,63022.19
2026-06,Coast,Snacks,30789.41
2026-06,Coast,Staples,38652.11
2026-06,Eastern,Beverages,11663.13
2026-06,Eastern,Household,54315.09
2026-06,Eastern,Personal Care,117225.65
2026-06,Eastern,Snacks,33627.28
2026-06,Eastern,Staples,56110.55
2026-06,Nairobi,Beverages,137819.9
2026-06,Nairobi,Household,385995.48
2026-06,Nairobi,Personal Care,418941.37
2026-06,Nairobi,Snacks,97671.46
2026-06,Nairobi,Staples,287386.71
2026-06,Nyanza,Beverages,38902.15
2026-06,Nyanza,Household,78953.55
2026-06,Nyanza,Personal Care,270268.47
2026-06,Nyanza,Snacks,33174.19
2026-06,Nyanza,Staples,62332.23
2026-06,Rift Valley,Beverages,30153.36
2026-06,Rift Valley,Household,121921.11
2026-06,Rift Valley,Personal Care,78585.82
2026-06,Rift Valley,Snacks,25259.08
2026-06,Rift Valley,Staples,81155.02
2026-06,Western,Beverages,52426.54
2026-06,Western,Household,65363.2
2026-06,Western,Personal Care,144999.75
2026-06,Western,Snacks,21907.79
2026-06,Western,Staples,75489.01
2026-07,Central,Beverages,47064.03
2026-07,Central,Household,104035.72
2026-07,Central,Personal Care,162317.4
2026-07,Central,Snacks,22798.23
2026-07,Central,Staples,142092.57
2026-07,Coast,Beverages,28788.37
2026-07,Coast,Household,108733.62
2026-07,Coast,Personal Care,167090.5
2026-07,Coast,Snacks,36927.64
2026-07,Coast,Staples,94394.37
2026-07,Eastern,Beverages,6549.49
2026-07,Eastern,Household,4810.1
2026-07,Eastern,Personal Care,6317.6
2026-07,Eastern,Snacks,15567.19
2026-07,Eastern,Staples,35908.43
2026-07,Nairobi,Beverages,139371.45
2026-07,Nairobi,Household,376124.3
2026-07,Nairobi,Personal Care,409987.98
2026-07,Nairobi,Snacks,79005.15
2026-07,Nairobi,Staples,217528.75
2026-07,Nyanza,Beverages,44613.01
2026-07,Nyanza,Household,70268.51
2026-07,Nyanza,Personal Care,109167.4
2026-07,Nyanza,Snacks,57227.78
2026-07,Nyanza,Staples,54794.22
2026-07,Rift Valley,Beverages,103014.76
2026-07,Rift Valley,Household,235959.94
2026-07,Rift Valley,Personal Care,461801.46
2026-07,Rift Valley,Snacks,72566.26
2026-07,Rift Valley,Staples,132511.7
2026-07,Western,Beverages,47924.15
2026-07,Western,Household,134263.46
2026-07,Western,Personal Care,141010.95
2026-07,Western,Snacks,15419.55
2026-07,Western,Staples,35122.16
2026-08,Central,Beverages,42250.81
2026-08,Central,Household,83418.24
2026-08,Central,Personal Care,55515.13
2026-08,Central,Snacks,33882.78
2026-08,Central,Staples,52835.87
2026-08,Coast,Beverages,15427.98
2026-08,Coast,Household,34076.98
2026-08,Coast,Personal Care,77561.99
2026-08,Coast,Snacks,10523.02
2026-08,Coast,Staples,27673.88
2026-08,Eastern,Beverages,31789.0
2026-08,Eastern,Household,59745.28
2026-08,Eastern,Personal Care,78201.87
2026-08,Eastern,Snacks,36303.19
2026-08,Eastern,Staples,46922.07
2026-08,Nairobi,Beverages,170758.96
2026-08,Nairobi,Household,239889.6
2026-08,Nairobi,Personal Care,432041.93
2026-08,Nairobi,Snacks,98111.34
2026-08,Nairobi,Staples,179824.02
2026-08,Nyanza,Beverages,22694.42
2026-08,Nyanza,Household,136953.68
2026-08,Nyanza,Personal Care,161808.6
2026-08,Nyanza,Snacks,41000.84
2026-08,Nyanza,Staples,64519.56
2026-08,Rift Valley,Beverages,82964.35
2026-08,Rift Valley,Household,97861.27
2026-08,Rift Valley,Personal Care,269619.75
2026-08,Rift Valley,Snacks,44422.72
2026-08,Rift Valley,Staples,144901.59
2026-08,Western,Beverages,33172.36
2026-08,Western,Household,56279.63
2026-08,Western,Personal Care,26708.77
2026-08,Western,Snacks,16988.81
2026-08,Western,Staples,79711.16
